order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order
1,112108,4,4,10,9.0
2,202279,3,5,9,8.0
3,205970,16,5,17,12.0
4,178520,36,1,9,7.0
5,156122,42,6,16,9.0
6,22352,4,1,12,30.0
7,142903,11,2,14,30.0
8,3107,5,4,6,17.0
9,139016,14,0,19,5.0
10,135442,4,6,8,8.0
11,143742,4,1,19,23.0
12,152610,22,6,8,10.0
13,45082,2,6,17,1.0
14,18194,49,3,15,3.0
15,54901,51,3,11,2.0
16,174840,18,3,12,13.0
17,36855,5,6,15,1.0
18,118860,3,4,20,6.0
19,83009,7,5,17,13.0
20,182912,1,6,17,
21,88772,13,2,12,5.0
22,30822,25,1,8,12.0
23,68572,21,1,18,8.0
24,193635,19,0,14,0.0
25,59897,19,6,10,25.0
26,153404,2,0,16,7.0
27,129389,16,6,20,14.0
28,98256,29,3,13,6.0
29,81606,14,5,12,10.0
30,194309,2,3,0,18.0
31,201744,7,6,15,14.0
32,119216,4,1,19,11.0
33,119866,6,1,18,21.0
34,35220,20,3,11,8.0
35,202527,1,1,13,
36,79431,23,6,18,30.0
37,52564,1,4,17,
38,42756,6,6,16,24.0
39,184886,8,5,18,30.0
40,382,29,1,15,23.0
41,85264,20,2,11,21.0
42,89125,11,0,20,3.0
43,39630,14,5,17,4.0
44,183833,3,6,17,1.0
45,37913,55,1,14,0.0
46,10951,3,0,18,18.0
47,191597,6,5,0,15.0
48,172786,5,2,0,30.0
49,79165,14,1,22,7.0
50,94330,25,1,13,4.0
51,160959,6,0,10,7.0
52,27498,18,3,10,1.0
53,87889,5,4,20,3.0
54,91977,2,3,15,30.0
55,127522,8,4,14,5.0
56,41591,8,0,12,2.0
57,34016,1,6,8,
58,150647,9,3,8,7.0
59,137346,8,1,19,11.0
60,66984,9,0,10,6.0
61,12295,2,1,9,7.0
62,189943,4,0,11,7.0
63,122048,21,0,13,4.0
64,5430,8,0,16,6.0
65,26599,9,2,10,11.0
66,83434,15,0,15,5.0
67,5738,4,3,12,6.0
68,96594,3,3,10,30.0
69,115481,16,3,12,3.0
70,128213,2,6,15,4.0
71,69984,20,1,13,11.0
72,199522,11,1,19,25.0
73,152590,13,0,12,0.0
74,3321,31,5,21,14.0
75,106387,1,5,19,
76,75136,5,1,19,30.0
77,91667,19,1,11,5.0
78,96511,3,2,15,15.0
79,197745,94,6,15,3.0
80,190599,16,3,13,7.0
81,186444,15,4,14,9.0
82,83499,20,1,13,3.0
83,41155,7,6,20,20.0
84,21551,36,2,16,5.0
85,4041,25,5,11,7.0
86,166645,9,6,22,4.0
87,155476,6,1,15,4.0
88,102020,4,0,11,7.0
89,105579,47,0,15,2.0
90,43798,14,2,16,13.0
91,5189,54,0,14,3.0
92,56022,13,6,9,6.0
93,130239,15,6,10,19.0
94,40375,5,3,16,8.0
95,187742,39,5,7,5.0
96,17227,7,6,20,30.0
97,175918,13,0,13,27.0
98,56463,41,3,8,14.0
99,108185,2,6,14,11.0
100,62781,1,2,13,
101,18783,33,3,15,6.0
102,4988,8,3,16,30.0
103,16694,4,2,9,8.0
104,4645,8,5,18,3.0
105,178958,27,4,10,30.0
106,161214,10,0,18,30.0
107,141357,33,3,20,6.0
108,184205,4,1,20,1.0
109,86865,20,0,9,17.0
110,73241,1,0,15,
111,102275,6,3,17,25.0
112,125030,5,5,14,26.0
113,128979,2,3,12,30.0
114,91891,1,0,11,
115,124725,13,0,9,8.0
116,119087,25,6,18,0.0
117,75394,15,5,13,8.0
118,136173,20,4,21,3.0
119,25967,5,4,11,4.0
120,23750,11,6,8,10.0
121,93455,30,1,11,4.0
122,127081,16,2,1,5.0
123,99471,17,5,12,6.0
124,69812,15,5,8,30.0
125,66104,21,6,12,5.0
126,66138,4,3,15,11.0
127,43629,8,6,11,3.0
128,7440,92,1,14,3.0
129,169467,7,4,18,3.0
130,16288,1,0,15,
131,34858,42,3,10,2.0
132,147650,10,6,12,30.0
133,162224,50,2,9,2.0
134,15608,7,1,8,30.0
135,55179,13,2,12,6.0
136,184355,12,6,10,6.0
137,187107,9,2,19,30.0
138,197422,20,0,16,7.0
139,146988,10,6,18,7.0
140,67155,13,3,14,20.0
141,88362,32,4,10,3.0
142,8841,43,4,22,9.0
143,130982,7,0,16,7.0
144,179300,4,3,15,30.0
145,49610,1,4,12,
146,21343,43,5,16,7.0
147,181484,16,0,12,20.0
148,41523,27,2,17,5.0
149,51424,8,5,13,1.0
150,126892,4,4,12,2.0
151,191401,15,6,7,7.0
152,103040,12,1,10,7.0
153,24173,4,4,17,4.0
154,73310,68,6,19,0.0
155,97415,8,2,12,2.0
156,111475,7,6,22,20.0
157,13055,37,6,17,3.0
158,24721,8,1,15,30.0
159,16286,38,4,13,3.0
160,181765,9,4,23,5.0
161,88526,11,1,23,19.0
162,198222,8,1,9,5.0
163,115844,16,2,14,0.0
164,184017,20,1,10,8.0
165,162754,4,2,11,12.0
166,39287,9,0,7,4.0
167,17547,7,0,12,30.0
168,117132,18,5,15,2.0
169,22517,3,0,9,14.0
170,182389,7,0,13,14.0
171,204184,2,5,12,30.0
172,30618,17,4,8,8.0
173,73399,29,6,12,7.0
174,53965,25,5,9,4.0
175,10358,42,4,18,2.0
176,4209,7,1,17,16.0
177,48308,27,2,16,8.0
178,971,2,3,11,19.0
179,84068,4,6,18,4.0
180,96385,20,6,19,7.0
181,141062,19,0,16,15.0
182,115892,28,0,11,8.0
183,104879,38,5,9,4.0
184,18409,6,0,19,30.0
185,172793,72,3,1,2.0
186,167393,1,0,16,
187,26978,43,5,16,9.0
188,58122,18,6,11,2.0
189,150723,5,3,16,6.0
190,189157,3,1,13,30.0
191,176417,44,3,2,6.0
192,189954,44,5,14,8.0
193,133810,8,0,11,7.0
194,48052,30,0,13,1.0
195,14264,38,0,16,15.0
196,177113,6,0,16,24.0
197,92707,52,5,20,7.0
198,21336,10,1,9,30.0
199,143951,5,3,10,16.0
200,21425,2,5,22,21.0
201,185440,4,0,15,6.0
202,154766,8,1,8,4.0
203,75564,11,4,14,8.0
204,115481,74,6,9,3.0
205,190709,14,4,14,6.0
206,72973,50,0,9,3.0
207,100208,3,5,14,6.0
208,68303,7,4,13,6.0
209,40286,4,0,17,21.0
210,43756,26,2,22,14.0
211,183969,1,2,14,
212,83727,17,1,6,5.0
213,33094,16,3,18,9.0
214,503,5,0,16,9.0
215,100052,1,1,11,
