product_count,num_orders
1,156748
2,186993
3,207027
4,222081
5,228330
6,227675
7,220006
8,203374
9,184347
10,165550
11,147461
12,131580
13,116871
14,103683
15,91644
16,81192
17,71360
18,62629
19,54817
20,48096
21,41863
22,36368
23,31672
24,27065
25,23613
26,20283
27,17488
28,15102
29,13033
30,11251
31,9571
32,8035
33,6991
34,6041
35,5164
36,4407
37,3681
38,3169
39,2653
40,2272
41,1978
42,1642
43,1412
44,1227
45,1048
46,895
47,743
48,608
49,563
50,491
51,394
52,348
53,288
54,275
55,224
56,175
57,159
58,165
59,119
60,121
61,100
62,79
63,67
64,57
65,53
66,49
67,44
68,39
69,24
70,33
71,30
72,23
73,22
74,24
75,9
76,11
77,15
78,9
79,7
80,7
81,5
82,9
83,4
84,10
85,5
86,7
87,4
88,7
89,4
90,1
91,4
92,9
93,4
94,1
95,4
96,3
98,4
99,2
100,4
101,2
102,3
104,2
105,1
108,2
109,2
112,1
114,1
115,1
116,1
121,1
127,1
137,1
145,1
